zip_city_id;zip postal;city
959;4520;Vinalmont
960;4520;Wanze
961;4530;Fize-Fontaine
962;4530;Vaux-et-Borset
963;4530;Vieux-Waleffe
964;4530;Villers-le-Bouillet
965;4530;Warnant-Dreye
966;4537;Bodegn�e
967;4537;Chapon-Seraing
968;4537;Seraing-le-Ch�teau
969;4537;Verlaine
970;4540;Amay
971;4540;Ampsin
972;4540;Fl�ne
973;4540;Jehay
974;4540;Ombret
975;4550;Nandrin
976;4550;Saint-S�verin
977;4550;Villers-le-Temple
978;4550;Yern�e-Fraineux
979;4557;Ab�e
980;4557;Fraiture
981;4557;Ramelot
982;4557;Seny
983;4557;Soheit-Tinlot
984;4557;Tinlot
985;4560;Bois-et-Borsu
986;4560;Clavier
987;4560;Les Avins
988;4560;Ocquier
989;4560;Pailhe
990;4560;Terwagne
991;4570;Marchin
992;4570;Vyle-et-Tharoul
993;4577;Modave
994;4577;Outrelouxhe
995;4577;Str�e-lez-Huy
996;4577;Vierset-Barse
997;4590;Ellemelle
998;4590;Ouffet
999;4590;Warz�e
1000;4600;Lanaye
1001;4600;Lixhe
1002;4600;Richelle
1003;4600;Vis�
1004;4601;Argenteau
1005;4602;Cheratte
1006;4606;Saint-Andr�
1007;4607;Berneau
1008;4607;Bombaye
1009;4607;Dalhem
1010;4607;Feneur
1011;4607;Mortroux
1012;4608;Neufch�teau
1013;4608;Warsage
1014;4610;Bellaire
1015;4610;Beyne-Heusay
1016;4610;Queue-du-Bois
1017;4620;Fl�ron
1018;4621;Retinne
1019;4623;Magn�e
1020;4624;Roms�e
1021;4630;Ayeneux
1022;4630;Micheroux
1023;4630;Soumagne
1024;4630;Tign�e
1025;4631;Evegn�e
1026;4632;C�rexhe-Heuseux
1027;4633;Melen
1028;4650;Chaineux
1029;4650;Grand-Rechain
1030;4650;Herve
1031;4650;Jul�mont
1032;4651;Battice
1033;4652;Xhendelesse
1034;4653;Bolland
1035;4654;Charneux
1036;4670;Bl�gny
1037;4670;Mortier
1038;4670;Trembleur
1039;4671;Barchon
1040;4671;Housse
1041;4671;Saive
1042;4672;Saint-Remy
1043;4680;Herm�e
1044;4680;Oupeye
1045;4681;Hermalle-sous-Argenteau
1046;4682;Heure-le-Romain
1047;4682;Houtain-Saint-Sim�on
1048;4683;Vivegnis
1049;4684;Haccourt
1050;4690;Bassenge
1051;4690;Boirs
1052;4690;Eben-Emael
1053;4690;Glons
1054;4690;Roclenge-sur-Geer
1055;4690;Wonck
1056;4700;Eupen
1057;4701;Kettenis
1058;4710;Lontzen
1059;4711;Walhorn
1060;4720;La Calamine
1061;4721;Neu-Moresnet
1062;4728;Hergenrath
1063;4730;Hauset
1064;4730;Raeren
1065;4731;Eynatten
1066;4750;Butgenbach
1067;4750;Elsenborn
1068;4760;Bullange
1069;4760;Manderfeld
1070;4761;Rocherath
1071;4770;Ambl�ve
1072;4770;Meyerode
1073;4771;Heppenbach
1074;4780;Recht
1075;4780;Saint-Vith
1076;4782;Schoenberg
1077;4783;Lommersweiler
1078;4784;Crombach
1079;4790;Reuland
1080;4791;Thommen
1081;4800;Ensival
1082;4800;Lambermont
1083;4800;Petit-Rechain
